title,author,rating,slick_sheet,retrieved_date
My Princess Boy,Cheryl Kilodavis,1,...,06/02/2023
My Rainbow,Trinity and DeShanna Neal,1,...,06/02/2023
My Shadow is Pink,Scott Stuart,1,...,06/02/2023
My Shadow is Purple,Scott Stuart,1,...,06/02/2023
"My Sister, Daisy",Adria Karlsson,1,...,06/02/2023
My Very Own Space,Pippa Goodhart,0,...,06/02/2023
Native Son,Richard Wright,3,...,06/02/2023
Neanderthal Opens the Door to the Universe,Preston Norton,3,...,06/02/2023
The Nerdy and The Dirty,B.T. Gottfred,4,...,06/02/2023
Nick and Charlie, Alice Oseman,3,...,06/02/2023
Nineteen Minutes, Jodi Picoult,4,...,06/02/2023
Normal People,Sally Rooney,4,...,06/02/2023
Not My Idea: A Book About Whiteness,Anastasia Higginbotham,2,...,06/02/2023
Not My Problem,Ciara Smyth,3,...,06/02/2023
Not Otherwise Specified, Hannah Moskowitz,2,...,06/02/2023
Not That Bad: Dispatches from Rape Culture, Roxane Gay,4,...,06/02/2023
Nothing Like You,Lauren Strasnick,2,...,06/02/2023
November 9,Colleen Hoover,4,here,06/02/2023
The Nowhere Girls,Amy Reed,3,...,06/02/2023
On the Bright Side I'm Now the Girlfriend of a Sex God,Louise Rennison,2,...,06/02/2023
Once Upon a Tim,Stuart Gibbs,1,...,06/02/2023
The One and Only Dylan St. Claire,Kamen Edwards,0,...,06/02/2023
One Last Stop,Casey McQuiston,4,here,06/02/2023
The Opposite of Innocent,Sonya Sones,3,...,06/02/2023
"Opposite Sex: Gay Men on Lesbians, Lesbians on Gay Men",Sara Miles and Eric Rofes,5,...,06/02/2023
Optimists Die First, Susin Nielsen,2,...,06/02/2023
An Ordinary Day,Elana K. Arnold,0,...,06/02/2023
Oryx and Crake,Margaret Atwood,4,...,06/02/2023
Our Skin: A First Conversation about Race,"Megan Madison, Jessica Ralli, and Isabel Roxas",1,...,06/02/2023
Out of Darkness,Ashley Hope Perez,3,...,06/02/2023
"Owl Diaries: Get Well, Eva",Rebecca Elliott,0,...,06/02/2023
The Pants Project,Cat Clarke,1,...,06/02/2023
"Papa, Daddy, and Riley",Seamus Kirst,1,...,06/02/2023
Pass It On,Sophy Henn,0,...,06/02/2023
The Passing Playbook,Isaac Fitzsimons,2,...,06/02/2023
Patrick's Polka-Dot Tights,Kristen McCurry,1,...,06/02/2023
The Peacock and the Mermaid,Julia Johnson,0,...,06/02/2023
People of Pride RuPaul Charles,Little Bee Books,1,...,06/02/2023
People Kill People,Ellen Hopkins,4,...,06/02/2023
Perfect,Ellen Hopkins,4,...,06/02/2023
Perfect,Kiri Jorgensen,1,...,06/02/2023
The Perks of Being a Wallflower,Stephen Chbosky,4,...,06/02/2023
Pet,Akwaeke Emezi,2,...,06/02/2023
"Pink, Blue, and You",Elise Gravel and Mykaell Blais,1,...,06/02/2023
Plum: How the Sugar Plum Fairy Got Her Wings,Sean Hayes and Scott Icenogle,1,...,06/02/2023
The Poet X,Elizabeth Acevedo,3,...,06/02/2023
Point of Retreat,Colleen Hoover,3,...,06/02/2023
Portnoy's Complaint,Philip Roth,5,...,06/02/2023
Prince and Knight,Daniel Haack,1,...,06/02/2023
Prince and Knight: Tale of the Shadow King,Daniel Haack,1,...,06/02/2023
The Prince and the Dressmaker,Jen Wang,2,...,06/02/2023
"The Pronoun Book: She, He, They, and Me!",Cassandra Jules Corrigan,1,...,06/02/2023
Protesting Police Violence In Modern America,Duchess Harris,1,...,06/02/2023
Pumpkin Heads,Rainbow Rowell,1,...,06/02/2023
Push,Sapphire,5,here,06/02/2023
Queen of Shadows,Sarah J. Maas,3,...,06/02/2023
Queer: A Graphic History,Meg-John Barker and Jules Scheele,4,...,06/02/2023
Questions and Feelings About Racism,Anita Ganeri,1,...,06/02/2023
A Quick & Easy Guide to Queer and Trans Identities,Mady G. and Jules Zuckerberg,2,...,06/02/2023
A Quick & Easy Guide to They/Them Pronouns,Archie Bongiovanni and Tristan Jimerson,1,...,06/02/2023
Race and Policing in Modern America,Duchess Harris,2,...,06/02/2023
Racial Justice in America: How Can I Be an Ally?,Fatima D. El-Mekki and Kelisa Wing,1,...,06/02/2023
Racial Justice in America: What is the Black Lives Matter Movement?,Hedreich Nichols and Kelisa Wing,1,...,06/02/2023
Racial Justice in America: What is White Privilege?,Leigh Ann Erickson and Kelisa Wing,1,...,06/02/2023
The Rainbow Parade,Emily Neilson,2,...,06/02/2023
Ramona Blue,Julie Murphy,3,...,06/02/2023
Rant,Chuck Palahniuk,4,here,06/02/2023
Ready Or Not,Meg Cabot,2,...,06/02/2023
